place.name,place.description,place.prices,place.ratings,place.mentions,place.location,place.region,place.spenttime,place.openingtime
Cityluxe,Paint & Pottery Studios,NA,5.0,"pens,purchase","Address12 Little Road #05-02, Singapore 536986 Singapore",Neighborhood: Joo Seng,< 1 hour,10:00 AM - 7:00 PM
La Maison du Whisky,Bars & Clubs,NA,4.0,,"Address80 Mohamed Sultan Road Floor 01 the Pier At Robertson 10, Singapore 239013 Singapore",Neighborhood: Robertson Quay,NA,12:00 PM - 12:00 AM
NA,NA,NA,NA,,NA,NA,NA,NA
The Cat Cafe,Game & Entertainment Centers,NA,3.5,"rescued cats,bugis junction,victoria street","Address241B Victoria Street, Singapore 188030 Singapore",Neighborhood: Rochor,NA,10:00 AM - 10:00 PM
Expressions @ Orchard,Spas,NA,5.0,,"Address121 Penang Road #01-02, Singapore 238464 Singapore",Neighborhood: Museum,1-2 hours,11:00 AM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Prive Waterfront Bar,Bars & Clubs,NA,4.0,,"Address2 Keppel Bay Vista Marina At Keppel Bay, Singapore 098382 Singapore",Neighborhood: Bukit Merah,NA,NA
Wave House Sentosa,Bars & Clubs,NA,4.0,,"Address1 Sentosa, Singapore 099081 Singapore",Neighborhood: Bedok,NA,10:30 AM - 10:30 PM
House of Zhen,Speciality & Gift Shops,NA,4.5,,"Address252 South Bridge Road, Singapore 058801 Singapore",Neighborhood: Outram,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Shugar Prestige,Spas,NA,4.5,"mani pedi,miko","Address290 Orchard Road #05-08A the Paragon, Singapore 238859 Singapore",Neighborhood: Boulevard,1-2 hours,NA
Space 2B,Health Clubs • Yoga & Pilates • Lessons & Workshops,NA,4.5,,"Address2B Stanley Street, Singapore 068721 Singapore",Neighborhood: Central Area/City Area,1-2 hours,12:00 PM - 9:00 PM
Fingerwork,Spas,NA,5.0,,"Address65 Circular Road #02-01, Singapore 049419 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Martini Bar at Mezza9,Bars & Clubs,NA,3.5,,"Address10 Scotts Road Grand Hyatt Singapore Grand Hyatt Singapore, Singapore 228211 Singapore",Neighborhood: Central Area/City Area,NA,3:00 PM - 12:00 AM
Smiggle,Speciality & Gift Shops,NA,4.0,,"Address68 Orchard Road Plaza Singapura Plaza Singapura, Singapore 238839 Singapore",Neighborhood: Museum,NA,NA
NING Foot & Back Spa,Spas,NA,4.0,masseuse,"Address78 Airport Boulevard #04-215/216 Jewel Changi Airport, Singapore 819666 Singapore",Neighborhood: Changi,1-2 hours,10:00 AM - 10:00 PM
Thirsty - The Beer Shop,Speciality & Gift Shops,NA,4.5,,"Address177 River Valley Road Liang Court #02-34, Liang Court Shopping Center, Singapore 179030 Singapore",Neighborhood: Central Area/City Area,NA,10:30 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Tippling Club,Bars & Clubs,NA,5.0,,"Address38 Tg Pagar Rd, Singapore 088461 Singapore",Neighborhood: Outram,NA,NA
Nydia Beauty Care,Spas,NA,5.0,"beautician,session,facial","Address5 Coleman Street Peninsula.Excelsior Hotel #03-27, Singapore 179805 Singapore",Neighborhood: City Hall,1-2 hours,11:00 AM - 7:00 PM
Freeing SG (Plaza Singapura),Escape Games,NA,4.0,,"Address68 Orchard Road Plaza Singapura #07-08a, Singapore 238839 Singapore",Neighborhood: Museum,NA,NA
The Elephant Room Singapore,Bars & Clubs,NA,5.0,"indian culture,stories","Address20A Teck Lim Road, Singapore 088391 Singapore",Neighborhood: Outram,1-2 hours,NA
Overjoyed,Speciality & Gift Shops,NA,5.0,,"Address2 Handy Road The Cathay The Cathay, Singapore 229233 Singapore",Neighborhood: Rochor,1-2 hours,10:00 AM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
JK Foot Reflexology,Spas,NA,4.5,,"Address1 Park Road #02-49 / #02-64 People's Park Complex, Singapore 059108 Singapore",Neighborhood: Outram,1-2 hours,10:00 AM - 10:00 PM
Yoga in Common,Yoga & Pilates,NA,5.0,,"Address22 Petain Road 2nd Floor, Singapore 208095 Singapore",Neighborhood: Lavender,1-2 hours,NA
Bubble Bump Singapore,Game & Entertainment Centers,NA,4.5,,"Address5B Guillemard Road Wing Fong Building, Singapore 399685 Singapore",Neighborhood: Kampong Ubi,1-2 hours,9:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Luxury Coach Services,Bus Services,NA,4.0,,NA,NA,NA,NA
Grandeur Spa,Spas,NA,5.0,"massage skills,therapist","Address480 River Valley Road, Singapore 248365 Singapore",Neighborhood: Tanglin,1-2 hours,9:00 AM - 10:30 PM
My Foot Reflexology,Spas,NA,5.0,,"Address176 Orchard Road The Centrepoint #03-30 CentrePoint, Singapore 238843 Singapore",Neighborhood: Somerset,NA,NA
Healing Touch Spa,Spas,NA,5.0,"deep tissue massage,great massage,tampines,branch,masseuse","Address1 Tampines Central 5 Cpf Tampines Building #05-10, CPF Tampines Building, Singapore 529508 Singapore",Neighborhood: Tampines East,1-2 hours,NA
PaperMarket,Paint & Pottery Studios,NA,5.0,shop,"Address1 Kim Seng Promenade Great World City, Singapore 237994 Singapore",Neighborhood: City Hall,NA,11:00 AM - 9:00 PM
Bubble Soccer Singapore,Game & Entertainment Centers,NA,4.5,,"Address2 Whitley Road Offside Futsal Park, Singapore 297715 Singapore",Neighborhood: Mount Pleasant,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Cherish Yumiz,Spas,NA,5.0,,NA,Neighborhood: Fernvale,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Welcome Ren Min,Bars & Clubs,NA,5.0,,"Address1 Kadayanallur Street Maxwell Food Centre #01-33, Singapore 069184 Singapore",Neighborhood: Central Business District,1-2 hours,6:30 PM - 10:30 PM
We The People Store,Speciality & Gift Shops,NA,4.5,,"Address9 Raffles Boulevard Millenia Walk, Singapore 039596 Singapore",Neighborhood: Marina Centre,< 1 hour,11:00 AM - 9:00 PM
Seletar Country Club,Golf Courses,NA,4.5,,"Address101 Seletar Club Road Seletar Country Club, Singapore 798273 Singapore",Neighborhood: Yishun,NA,NA
"Chi, The Spa at Shangri-La",Spas,NA,4.0,"therapist,facial","Address22 Orange Grove Road Shangri-La Hotel Level 1, Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore",Neighborhood: Tanglin,NA,10:00 AM - 10:00 PM
Poster Hub,Speciality & Gift Shops,NA,5.0,,"Address1 Tampines North Drive 3 #06-07 BHCC Space, Singapore 528499 Singapore",Neighborhood: Marina Centre,< 1 hour,12:30 PM - 7:00 PM
Amrita Ayurveda and Yoga,Spas,NA,4.5,,"Address11 Upper Dickson Road, Singapore 207471 Singapore",Neighborhood: Rochor,1-2 hours,12:00 AM - 11:59 PM
Lacquer & Spa,Spas,NA,4.5,,"Address1 Bayfront Avenue Marina Bay Sands #B1-02, Marina Bay Sands Hotel Coach Bay, Singapore 018971 Singapore",Neighborhood: Marina Bay,1-2 hours,NA
Ipanema World Music Bar,Bars & Clubs • Dance Clubs & Discos,NA,4.0,,"Address400 Orchard Road Orchard Towers #02-43 Orchard Towers, Singapore 238875 Singapore",Neighborhood: Boulevard,More than 3 hours,7:00 PM - 6:00 AM
NA,NA,NA,NA,,NA,NA,NA,NA
Emporium Shokuhin,Speciality & Gift Shops • Other Food & Drink,NA,4.0,,"Address6 Raffles Avenue #01-18 Marina Square, Singapore 039798 Singapore",Neighborhood: Marina Centre,NA,NA
HealSpa,Health Clubs,NA,4.5,,"Address100 Tras Street 100 am #04-14, Singapore 079027 Singapore",Neighborhood: Anson,1-2 hours,NA
The Plant Story,Paint & Pottery Studios • Lessons & Workshops,NA,5.0,"workshop,apothecary,gardening,miniature,nature,fun","Address11 Rhu Cross, Singapore, Singapore 437440 Singapore",Neighborhood: Tanjong Rhu,NA,10:00 AM - 7:00 PM
On Tap,Bars & Clubs,NA,5.0,,"Address335 Smith Street Chinatown Complex, Singapore 050335 Singapore",Neighborhood: Outram,< 1 hour,4:30 PM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
The Organic Room,Spas,NA,5.0,wax,"Address470 North Bridge Road #04-03 Bugis Cube Bugis Cube, Singapore 188735 Singapore",Neighborhood: Museum,1-2 hours,10:00 AM - 9:00 PM
La Source Spa,Spas,NA,4.0,stroke,"Address581 Orchard Road, The Shopping Gallery at The Hilton #02-17/18, Singapore 238883 Singapore",Neighborhood: Boulevard,1-2 hours,11:00 AM - 8:00 PM
The Attic Place,Speciality & Gift Shops,NA,5.0,purchase,"Address545 Orchard Road Far East Shopping Centre Far East Shopping centre #04-08, Singapore 238882 Singapore",Neighborhood: Boulevard,1-2 hours,11:30 AM - 6:30 PM
The Spa by The Ultimate,Spas,NA,5.0,facial,"Address9 Sentul Crescent #04-05 SAFRA Punggol, Singapore 828654 Singapore",Neighborhood: Punggol Town Centre,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Tanah Merah Country Club,Golf Courses,NA,4.5,,"Address25 Changi Coast Road Tanah Merah Country Club, Singapore 499803 Singapore",Neighborhood: Changi,NA,NA
BKK Bespoke,Speciality & Gift Shops,NA,5.0,tailor,"Address883 North Bridge Road Southbank Southbank Condominium, Singapore 198785 Singapore",Neighborhood: Punggol Town Centre,< 1 hour,7:00 PM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Ayuthaya Spa,Spas,NA,4.5,,"Address9 Scotts Road Pacific Plaza Pacific Plaza, Singapore 228210 Singapore",Neighborhood: Boulevard,1-2 hours,11:00 AM - 10:00 PM
Axe Factor - Axe Throwing,Game & Entertainment Centers,NA,4.5,,"Address200 Turf Club Road The Grandstand #01-32/34, Singapore 287994 Singapore",Neighborhood: Swiss Club,1-2 hours,12:00 PM - 10:00 PM
SBS Transit,Bus Services,NA,3.5,"driving skills,driver,card,boarded",NA,NA,< 1 hour,NA
The Spa-Lon,Spas,NA,5.0,,"Address180 Kitchener Road City Square Mall #03-01 City Square Mall, Singapore 208539 Singapore",Neighborhood: Lavender,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Chevy's Bar and Bistro,Bars & Clubs,NA,4.5,,"Address247 Beach Road #01-01, Singapore 189756 Singapore",Neighborhood: Rochor,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Face Plus by Yamano Singapore,Spas,NA,5.0,,"Address181 Orchard Road Orchard Central #04-02 Orchard Central, Singapore 238896 Singapore",Neighborhood: Somerset,1-2 hours,11:00 AM - 10:00 PM
Senses Spa Beauty,Spas,NA,4.5,,"Address2 Handy Road The Cathay #03-19 The Cathay, Singapore 229233 Singapore",Neighborhood: Central Area/City Area,2-3 hours,1:00 PM - 10:00 PM
Sam's Custom Tailors,Speciality & Gift Shops,NA,4.5,,"Address14 Scotts Road Far East Plaza Unit 02-55, Far East Plaza, Singapore 228213 Singapore",Neighborhood: Central Area/City Area,< 1 hour,9:00 AM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
The Jiao Luo Shop,Speciality & Gift Shops,NA,5.0,,"Address5 Banda Street Floor 01 Kreta Ayer Heights 98, Singapore 050005 Singapore",Neighborhood: Outram,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
"The Ritz-Carlton Spa, Singapore",Spas,NA,4.5,,"Address7 Raffles Avenue Ritz Carlton Millenia Singapore, Singapore 039799 Singapore",Neighborhood: Marina Centre,2-3 hours,9:00 AM - 11:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
ToTT Cooking Studio Classes,Cooking Classes,NA,4.5,,"Address2 Tampines Central 5 Century Square #02-14 Century Square, Singapore 529509 Singapore",Neighborhood: Swiss Club,1-2 hours,11:00 AM - 9:00 PM
MrMaxiCab Services,Taxis & Shuttles,NA,5.0,,NA,NA,2-3 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Raffles Country Club,Golf Courses,NA,4.0,,"Address450 Jalan Ahmad Ibrahim Raffles Country Club, Singapore 639932 Singapore",Neighborhood: Tuas,NA,NA
Kenko Reflexology and Fish Spa,Spas,NA,4.0,,"Address30 Raffles Avenue #02-08 Singapore Flyer, Singapore 039803 Singapore",Neighborhood: Marina Centre,NA,NA
Happy Harry's Shop,Speciality & Gift Shops,NA,5.0,"silk,fabric,tailor","Address254 South Bridge Road 01-01, Singapore 058803 Singapore",Neighborhood: Outram,< 1 hour,10:00 AM - 5:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Clip 'n Climb HomeTeamNS,Game & Entertainment Centers,NA,4.5,"climbers,activity","Address51 Tampines Ave 4 Our Tampines Hub, Singapore 529684 Singapore",Neighborhood: Tampines,1-2 hours,12:00 PM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Buds By Shangri-La,Game & Entertainment Centers,NA,4.0,play,"Address22 Orange Grove Road Shangri-La Hotel Shangri-La Hotel, Singapore 258350 Singapore",Neighborhood: Tanglin,2-3 hours,9:00 AM - 6:30 PM
Bon Limo,Taxis & Shuttles,NA,5.0,,"Address60 Airport Boulevard Changi Airport Terminal 2, Singapore 819643 Singapore",Neighborhood: Changi,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Gardens Shop,Speciality & Gift Shops,NA,4.0,,"Address1 Cluny Road National Parks Board Singapore Botanic Gardens, Singapore 259569 Singapore",Neighborhood: Tanglin,< 1 hour,NA
Toko Aljunied,Speciality & Gift Shops,NA,4.5,,"Address91 Arab Street, Singapore 199787 Singapore",Neighborhood: Rochor,NA,NA
Xi Yuan Foot Spa,Spas,NA,4.5,,NA,Neighborhood: Rochor,1-2 hours,NA
Silken Treasure,Speciality & Gift Shops,NA,5.0,,"Address405 Havelock Road Furama RiverFront, Singapore 169633 Singapore",Neighborhood: Central Area/City Area,1-2 hours,10:00 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
The White Spa,Spas,NA,5.0,,"Address167 Selegie Road, Singapore 188321 Singapore",Neighborhood: Rochor,1-2 hours,NA
Expressions @ Thomson,Spas,NA,5.0,,"Address2 Sin Ming Road #01-06 Sin Ming Plaza, Singapore 575583 Singapore",Neighborhood: Bishan,1-2 hours,10:30 AM - 8:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Artify Studio,Paint & Pottery Studios • Art Galleries • Universities & Schools,NA,5.0,art jamming,"Address200 Jalan Sultan Textile Centre #08-05 & #12-07 Textile Centre, Singapore 199018 Singapore",Neighborhood: Crawford,2-3 hours,10:00 AM - 9:30 PM
Kiztopia,Game & Entertainment Centers,NA,4.5,"indoor playground,train ride,trampoline","Address6 Raffles Boulevard Marina Square Marina Square Level 1, #01-09, Singapore 039594 Singapore",Neighborhood: Marina Centre,NA,NA
Executive Golf Course,Golf Courses,NA,4.0,,"AddressUpper Seletar Reservoir Mandai Road Track 7, Singapore 779384 Singapore",Neighborhood: Yishun,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Soul Well,Spas,NA,5.0,,"Address739 Havelock Road, Singapore 169654 Singapore",Neighborhood: Bukit Merah,2-3 hours,11:00 AM - 10:30 PM
Katapult Trampoline Park,Sports Complexes • Game & Entertainment Centers,NA,4.0,,"Address81 Lorong Chencharu Orto, Singapore 769198 Singapore",Neighborhood: Yishun,1-2 hours,NA
Healing Touch Spa,Spas,NA,4.5,"deep tissue massage,novena,masseuse,orchard","Address70 Thomas Road, Singapore 307588 Singapore",Neighborhood: Moulmein,NA,11:00 AM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Sampan Rides at Marina Bay Sands,Game & Entertainment Centers,NA,3.5,mbs,"Address2 Bayfront Avenue Marina Bay Sands The Shoppes at Marina Bay Sands, Singapore 018972 Singapore",Neighborhood: Marina Bay,NA,NA
The Olde Cuban,Cigar Bars,NA,3.5,,"Address2 Trengganu Street, #02-01, Singapore 058456 Singapore",Neighborhood: Outram,NA,NA
Spa Club At Beach Road,Spas,NA,4.0,masseuse,"Address75 Beach Road Floor 01 Fu Yuen Building 00, Singapore 189689 Singapore",Neighborhood: Central Area/City Area,NA,NA
Anthony The Spice Maker,Speciality & Gift Shops,NA,4.5,,"AddressBlk 333 Kreta Ayer Road Kreta Ayer Heights #01-25, Singapore 080333 Singapore",Neighborhood: Outram,< 1 hour,10:00 AM - 6:00 PM
Pat-A-Cake with Aruna,Lessons & Workshops • Cooking Classes,NA,5.0,,"Address6 Eu Tong Sen Street The Central #B1-27E, Clarke Quay Central, Singapore 059817 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Diggersite,Game & Entertainment Centers,NA,4.5,,"Address81 Lorong Chencharu Orto, Singapore 769198 Singapore",Neighborhood: Marine Parade,1-2 hours,11:00 AM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Emperor Spa,Spas,NA,4.0,massage service,"Address90 Eu Tong Sen Street Old CID Building, Singapore 059811 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Peranakan Place,Bars & Clubs,NA,4.0,,NA,NA,NA,12:00 PM - 2:00 AM
Ayush Ayurvedic Pte Ltd,Spas,NA,4.0,,"Address146 Race Course Road, Singapore 218595 Singapore",Neighborhood: Little India,1-2 hours,9:00 AM - 9:00 PM
The Baking Loft,Cooking Classes,NA,5.0,,"Address12 Eu Tong Sen Street #05-169 the Central Soho2 at Central, Singapore 059819 Singapore",Neighborhood: Central Area/City Area,2-3 hours,NA
E-Waves Fishbyte Pte Ltd,Speciality & Gift Shops,NA,5.0,,"AddressClementi West Street 2 Block 713, #01-12, Singapore 120713 Singapore",Neighborhood: Clementi,More than 3 hours,NA
Kidz Amaze,Game & Entertainment Centers,NA,4.5,,"Address293 Lorong 6 Toa Payoh Safra Clubhouse (Toa Payoh) Safra Toa Payoh, Singapore 319387 Singapore",Neighborhood: Toa Payoh Central,NA,NA
TJI's Transporter,Taxis & Shuttles,NA,5.0,,NA,NA,< 1 hour,NA
Attica,Bars & Clubs,NA,3.5,,"Address3A River Valley Road #02-05 Clarke Quay Entrance is at ground level in the main fountain area of Clark Quay, Singapore 179019 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,10:30 PM - 5:00 AM
Ashi Reflexology,Spas,NA,5.0,"holland village,air con,tcm,knead,skills","Address211 Holland Ave, #03-40/41 Holland Road Shopping Centre, Singapore 278967 Singapore",NA,1-2 hours,11:00 AM - 7:00 PM
Rule of Thumb Sanctuary Spa,Spas,NA,4.0,,"Address289 Beach Road, Suite 01-01, Singapore 199552 Singapore",Neighborhood: Rochor,NA,10:00 AM - 4:00 AM
KF1,Game & Entertainment Centers,NA,4.5,"track,fun","Address1 Turf Club Avenue Singapore Racecourse, Singapore 738078 Singapore",Neighborhood: Sungei Kadut,1-2 hours,1:00 PM - 9:00 PM
g.spa Fitness and Recreation Hub,Spas,NA,3.5,fountain,"Address102 Guillemard Road Floor 02 Singapore Badminton Association Building 02, Singapore 399719 Singapore",Neighborhood: Red Light District,More than 3 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Yang Xin Dian Foot Reflexology,Spas,NA,4.0,,"Address1 Park Road People's Park Complex Floor 03 Unit 25 12, Singapore 059108 Singapore",Neighborhood: Outram,NA,NA
Nimble/Knead,Spas,NA,4.5,,"Address66 Eng Watt Street Tiong Bahru Estate #01-28, Singapore 160066 Singapore",Neighborhood: Bukit Merah,NA,11:00 AM - 10:00 PM
The Sandalwood Room,Speciality & Gift Shops,NA,5.0,,"Address78 Tras Street Parking at Orchid Hotel, Singapore 079017 Singapore",Neighborhood: Rochor,1-2 hours,11:00 AM - 8:00 PM
Expressions @ Jewel,Spas,NA,4.0,slimming,"Address78 Airport Boulevard #04-238 Jewel Changi Airport, Singapore 819666 Singapore",Neighborhood: Changi,1-2 hours,10:00 AM - 10:00 PM
Singapore Cab Booking,Taxis & Shuttles,NA,4.0,"awesome experience,company,driver,ride",NA,Neighborhood: Marina Bay,< 1 hour,NA
Aegle TCM Clinique,Spas,NA,4.5,,"Address11 Unity Street Robertson Walk, Singapore 237995 Singapore",Neighborhood: Robertson Quay,2-3 hours,10:00 AM - 8:00 PM
Neue Fit,Health Clubs • Yoga & Pilates,NA,5.0,,"Address1 Stadium Place #02-07, Kallang Wave Mall, Singapore 397688 Singapore",Neighborhood: Tanjong Rhu,1-2 hours,10:00 AM - 10:00 PM
Ayur Centre Pte. Ltd,Spas,NA,5.0,,"Address84 Bedok North Street 4 #01-17, Singapore 460084 Singapore",Neighborhood: Bedok,1-2 hours,9:00 AM - 9:00 PM
Healing Touch Spa,Spas,NA,5.0,deep tissue massage,"Address354 Alexandra Road Alexis #01-18 Alexis Condo, Singapore 159948 Singapore",Neighborhood: Mei Chin,NA,11:00 AM - 10:30 PM
Square 2,Speciality & Gift Shops,NA,3.5,,"Address10 Sinaran Drive Square 2, Singapore 307506 Singapore",Neighborhood: Moulmein,NA,11:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Spa by JW,Spas,NA,5.0,,"Address30 Beach Road Jw Marriott Singapore South Beach JW Marriott Hotel Singapore South Beach, Singapore 189763 Singapore",Neighborhood: Central Area/City Area,NA,11:00 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Pioneer Concept Store,Speciality & Gift Shops,NA,5.0,,"Address81 Ubi Avenue 4 Ub. One #01-09, UB. One, Singapore 408830 Singapore",Neighborhood: Kampong Ubi,< 1 hour,10:00 AM - 7:00 PM
My Happy Feet,Spas,NA,4.5,,"Address21A Lorong Mambong Holland Village Holland Village, Singapore 277680 Singapore",Neighborhood: Holland Village,NA,11:00 AM - 9:00 PM
Don Don: Donki,Speciality & Gift Shops • Department Stores,NA,4.5,"japanese products,shop","Address1 Maritime Square Harbourfront Centre, Singapore 099253 Singapore",Neighborhood: Bukit Merah,NA,NA
Premier's Tea Moods Pte Ltd,Speciality & Gift Shops,NA,5.0,,"Address44 Horne Road Network Courier Building network Courier Building, Singapore 209067 Singapore",Neighborhood: Lavender,< 1 hour,8:30 AM - 6:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Fort Sanctuary,Speciality & Gift Shops,NA,5.0,,"Address8 Raffles Avenue Esplanade Mall #02-04 Esplanade Mall, Singapore 039802 Singapore",Neighborhood: Marina Centre,< 1 hour,1:00 PM - 9:00 PM
Pokemon Center Singapore,Speciality & Gift Shops,NA,4.0,,"Address78 Airport Boulevard #04-201 & 202, Jewel Changi Airport, Singapore 819666 Singapore",Neighborhood: Changi,NA,NA
Elephant Parade Haji Lane,Speciality & Gift Shops,NA,5.0,,"Address30 Haji Lane, Singapore 189223 Singapore",Neighborhood: Rochor,1-2 hours,NA
Nithya Priyan School of Yoga,Yoga & Pilates,NA,5.0,classes,"Address235A South Bridge Road Across the Road from Sri Mariamman Temple, Singapore 058784 Singapore",Neighborhood: Outram,1-2 hours,"7:30 AM - 1:15 PM, 6:30 PM - 9:00 PM"
Shen Nong Spa,Spas,NA,5.0,chinese sausage,"Address17 Carpenter St #02-01, Singapore 059906 Singapore",Neighborhood: Central Area/City Area,NA,NA
Cluny Court,Speciality & Gift Shops • Points of Interest & Landmarks,NA,4.0,,"Address501 Bukit Timah Road Cluny Court, Singapore 259760 Singapore",Neighborhood: Tanglin,< 1 hour,NA
Supermama Store,Speciality & Gift Shops,NA,4.0,,"Address93 Stamford Road National Museum of Singapore National Museum of Singapore, Singapore 178897 Singapore",Neighborhood: Rochor,< 1 hour,11:00 AM - 8:00 PM
